date,price,type,bedrooms
2012-02-04,440000,house,4
2012-02-04,530000,house,4
2012-02-05,340000,house,3
2012-02-05,435000,house,4
2012-02-05,438000,house,4
2012-02-05,495000,house,4
2012-02-05,620000,house,4
2012-02-06,339000,house,3
2012-02-06,500000,house,5
2012-02-06,510000,house,4
2012-02-06,535000,house,4
2012-02-07,512000,house,3
2012-02-09,395000,house,4
2012-02-09,520000,house,4
2012-02-09,545000,house,4
2012-02-09,715000,house,4
2012-02-10,335000,house,3
2012-02-10,400000,house,3
2012-02-10,468000,house,4
2012-02-10,510000,house,4
2012-02-11,100000,house,3
2012-02-11,380000,house,3
2012-02-11,385000,house,3
2012-02-11,407000,house,3
2012-02-11,410000,house,4
2012-02-11,480000,house,4
2012-02-11,535000,house,4
2012-02-11,670000,house,4
2012-02-12,347500,house,3
2012-02-12,380000,house,3
2012-02-12,400000,house,3
2012-02-12,405000,house,4
2012-02-12,408000,house,4
2012-02-12,485000,house,4
2012-02-13,362000,house,3
2012-02-13,435000,house,4
2012-02-13,450000,house,4
2012-02-13,880000,house,4
2012-02-14,456000,house,3
2012-02-16,355000,house,3
2012-02-16,426500,house,4
2012-02-16,490000,house,4
2012-02-16,602000,house,4
2012-02-17,355000,house,3
2012-02-17,380000,house,3
2012-02-17,410000,house,4
2012-02-17,449000,house,4
2012-02-17,486000,house,4
2012-02-17,490000,house,4
2012-02-17,490000,house,3
2012-02-17,560000,house,5
2012-02-18,513000,house,4
2012-02-18,522000,house,3
2012-02-19,370000,house,3
2012-02-19,405000,house,4
2012-02-19,539000,house,5
2012-02-19,560000,house,4
2012-02-19,627500,house,3
2012-02-20,405000,house,4
2012-02-20,410000,house,3
2012-02-20,671000,house,4
2012-02-21,690000,house,4
2012-02-23,362000,house,3
2012-02-23,379950,house,3
2012-02-23,391000,house,4
2012-02-23,480000,house,4
2012-02-23,495000,house,3
2012-02-23,630000,house,4
2012-02-24,360000,house,3
2012-02-24,477000,house,4
2012-02-24,750000,house,5
2012-02-25,1580000,house,4
2012-02-26,390000,house,3
2012-02-26,401500,house,3
2012-02-26,440000,house,5
2012-02-26,490000,house,5
2012-02-26,580000,house,4
2012-02-26,720000,house,5
2012-02-27,476000,house,4
2012-02-28,400000,house,3
2012-03-02,460000,house,4
2012-03-02,485000,house,4
2012-03-02,505000,house,4
2012-03-02,780000,house,4
2012-03-03,283000,house,3
2012-03-03,325000,house,3
2012-03-03,360000,house,3
2012-03-03,389000,house,3
2012-03-03,395000,house,3
2012-03-03,805000,house,4
2012-03-04,347500,house,3
2012-03-04,390000,house,4
2012-03-04,390000,house,3
2012-03-04,423500,house,4
2012-03-04,430000,house,4
2012-03-04,465000,house,5
2012-03-04,484500,house,3
2012-03-05,399000,house,3
2012-03-05,501500,house,4
2012-03-05,550000,house,3
2012-03-06,309950,house,3
2012-03-06,351126,house,2
2012-03-06,425000,house,5
2012-03-06,435000,house,4
2012-03-06,447500,house,3
2012-03-06,468000,house,4
2012-03-06,560000,house,3
2012-03-06,560000,house,4
